10,41
10,51
10,8
11,14
11,17
11,45
11,55
12,21
14,12
14,49
14,51
14,55
14,8
15,17
15,32
15,46
16,23
17,20
18,14
18,48
18,51
18,55
19,37
19,4
20,17
20,23
21,26
22,30
22,43
22,49
22,54
23,22
24,28
25,13
25,25
25,31
27,9
2,8
28,28
29,17
29,31
30,13
30,37
3,12
31,24
31,48
32,27
32,4
33,29
34,23
35,17
36,27
36,41
38,24
38,9
39,33
40,14
40,21
40,40
40,42
41,23
41,36
41,45
4,15
42,27
4,25
43,41
4,4
45,38
46,10
46,31
46,44
48,19
48,33
49,25
49,30
52,12
53,30
54,36
56,22
61,18
6,7
7,11
7,16
8,20
9,28
9,34
9,4
9,47
